Node_name,Lat,Lng
VKL,2.724444444,101.7380556
GUPTA,2.163333333,102.6416667
TEPUS,4.170277778,100.7591667
SUKAT,3.590277778,101.02
VPG,5.279638889,100.2603889
VBA,3.324805556,101.4569167
VTK,1.415277778,104.0222222
VPK,3.369166667,103.4233333
PADLI,3.155,103.5258333
SAROX,2.800555556,102.6719444
VPT,2.910944444,104.101
KIBOL,2.873333333,104.4680556
KAMIN,2.578333333,108.9266667
PILAX,2.313888889,111.3905556
VSI,2.246805556,112.0033889
HOSBA,1.33,104.405
TOMAN,1.363055556,105.7880556
NIMIX,1.414444444,107.9905556
VKG,1.47275,110.3119167
SARVO,3.441666667,112.8361111
VMI,4.337777778,113.9941667
BRU,4.875,114.8816667
PIBOS,3.351666667,102.0544444
VJN,5.89925,116.0339722
VBU,3.153888889,113.0133333
KADMO,4.204166667,114.1355556
ADNUT,3.359166667,102.6272222
ISTAN,3.015277778,102.4813889
VJR,1.675,103.66
ADGAB,3.095555556,112.6008333
AGPOP,2.178055556,111.2236111
AGOBA,1.978333333,108.5
SABIP,2.161111111,107.8455556
BOBOB,2.368333333,107.0994444
KETOD,3.178888889,104.1619444
OBDAB,3.198055556,104.0938889
WMKK,2.745580556,101.71
WMKP,5.297138889,100.277
WSSS,1.350188889,103.9940028
WBGS,2.2616,111.985
WBGG,1.4847,110.347
WBGR,4.322011111,113.987
WBKK,5.937211111,116.0510028
WBGB,3.12385,113.0199972
WMKJ,1.641311111,103.6699972
